"site_id","region","land_cover","ndvi","elevation_m","temp_c","shrub_cover_pct","soil_moisture","forage_quality","cover_quality","riparian_present","riparian_quality","riparian_width_m","canopy_present","canopy_quality","canopy_height_m","density"
"S0001","R29","Cropland",0.44423909247158,716,13.2,51.4676030585588,43.6925963107555,"Fair","Good",FALSE,NA,NA,TRUE,"Excellent",11,9.05
"S0002","R33","Cropland",0.398224512795416,1016,15.5,3.43247639883819,34.5431522033515,"Good","Poor",FALSE,NA,NA,TRUE,"Good",17,1.62
"S0003","R38","Grassland",0.515217692669233,886,19.9,18.4560885507961,24.8944359859178,"Fair","Excellent",FALSE,NA,NA,TRUE,"Fair",11,3.33
"S0004","R27","Shrubland",0.582991975107723,937,15.8,58.9015029103006,26.0015502751751,"Excellent","Fair",FALSE,NA,NA,TRUE,"Poor",20,10.24
"S0005","R36","Woodland",0.271666850625957,764,NA,70.0696256320921,29.8355549259956,"Fair",NA,FALSE,NA,NA,FALSE,NA,NA,3.5
"S0006","R05","Grassland",0.346767604726349,1098,NA,23.2265163866871,38.1760888896177,"Good","Fair",FALSE,NA,NA,TRUE,"Good",22,2.04
"S0007","R31","Wetland",0.291397679350674,1005,12.2,35.6749971686047,34.4345915598197,"Poor","Good",FALSE,NA,NA,TRUE,"Poor",18,4.96
"S0008","R34","Grassland",0.565000969388057,983,19.3,20.9853059673526,45.2336783559343,"Poor",NA,FALSE,NA,NA,FALSE,NA,NA,7.3
"S0009","R24","Cropland",0.555454788820821,989,15.3,0,35.3750300529667,"Fair","Fair",FALSE,NA,NA,FALSE,NA,NA,1.81
"S0010","R19","Shrubland",0.393575953155854,1144,17.1,45.1727839691929,16.4881722812404,"Excellent","Fair",TRUE,"Poor",5,TRUE,"Excellent",16,4.41
"S0011","R15",NA,0.347157589597787,1059,14.9,18.7574120275427,20.4859276291128,"Good","Excellent",FALSE,NA,NA,FALSE,NA,NA,1.5
"S0012","R29","Cropland",0.253888061999948,798,12.1,43.2012405220594,46.448564557333,"Good","Good",FALSE,NA,NA,TRUE,"Poor",12,7.04
"S0013","R10","Shrubland",0.60240657682125,977,18.5,59.3979537134786,35.0605475535051,"Good","Fair",FALSE,NA,NA,TRUE,"Excellent",23,9.98
"S0014","R18","Wetland",0.387218492968719,907,13.6,25.4555086449163,NA,"Poor","Fair",FALSE,NA,NA,TRUE,"Excellent",17,8.03
"S0015","R34","Grassland",0.607435536761754,1253,16.5,59.6871748844868,33.8763938538893,"Fair","Poor",FALSE,NA,NA,TRUE,"Excellent",5,5.09
"S0016","R29","Cropland",0.799250211265863,639,14.9,25.9207723988952,NA,"Fair","Fair",FALSE,NA,NA,TRUE,"Good",17,13.84
"S0017","R37","Grassland",0.701920456772617,953,11.5,65.4251096181672,NA,"Excellent","Poor",TRUE,"Excellent",11,FALSE,NA,NA,33.6
"S0018","R12","Cropland",0.37596393214564,740,5.8,50.0043601628159,NA,"Poor","Good",FALSE,NA,NA,TRUE,"Excellent",3,3.45
"S0019","R37","Grassland",0.670769775126631,550,13.1,37.2616133229601,18.2878956483647,"Excellent","Fair",TRUE,"Fair",9,TRUE,"Good",9,95.63
"S0020","R35","Shrubland",0.399388476654448,804,15.8,43.6616579303414,40.0612599040731,"Poor","Poor",FALSE,NA,NA,TRUE,"Fair",19,6.81
"S0021","R12","Cropland",0.543245800618439,698,13.8,34.189376216572,21.4096119399327,"Good","Good",FALSE,NA,NA,FALSE,NA,NA,5
"S0022","R03","Cropland",0.524576037446891,910,11.6,37.8218524740681,NA,"Poor","Poor",TRUE,"Good",4,FALSE,NA,NA,6.49
"S0023","R35","Shrubland",0.581555872164789,979,8.8,32.8738297537467,45.5098322478232,"Poor","Poor",TRUE,"Excellent",14,TRUE,"Excellent",16,29.92
"S0024","R36","Woodland",0.501344117404487,920,15.1,22.0731551028668,36.471619101028,"Poor","Fair",FALSE,NA,NA,TRUE,"Fair",2,3.48
"S0025","R08","Shrubland",0.543715959366944,899,15.3,63.2627017303169,25.3151549034241,NA,"Poor",TRUE,"Poor",3,FALSE,NA,NA,7.21
"S0026","R02","Cropland",0.594815033449832,1038,20.2,15.0233524367537,2.54307990476866,"Fair","Fair",TRUE,"Poor",4,TRUE,"Good",23,4.32
"S0027","R29","Cropland",0.18165579131118,804,15.5,49.6812693651186,28.9916617603751,"Excellent","Good",FALSE,NA,NA,FALSE,NA,NA,2.96
"S0028","R05","Grassland",0.459032574690787,361,20.9,70.6991303291046,35.3370710023821,"Poor","Good",FALSE,NA,NA,FALSE,NA,NA,22.02
"S0029","R09","Cropland",0.556890447597232,1125,15.1,7.08406328848265,39.585141925724,"Poor","Good",FALSE,NA,NA,TRUE,"Excellent",19,1.7
"S0030","R18","Wetland",0.5311117374058,877,13.1,15.9217677957709,43.1084132023114,"Fair","Fair",FALSE,NA,NA,FALSE,NA,NA,8.04
"S0031","R07","Woodland",0.519511322397163,1047,16.3,NA,43.5431612915029,"Good","Fair",FALSE,NA,NA,TRUE,"Excellent",12,3.14
"S0032","R27","Shrubland",0.759352284477905,1008,NA,35.2807182481482,42.1795304995072,"Good","Fair",FALSE,NA,NA,TRUE,"Good",6,14.55
"S0033","R37","Grassland",NA,872,14.6,25.4619301057527,33.1210575310484,"Excellent","Good",FALSE,NA,NA,TRUE,"Good",14,10.53
"S0034","R05","Grassland",0.513527005849283,1033,9.6,50.5276994574881,42.3769644228188,"Poor","Good",TRUE,"Fair",16,TRUE,"Good",23,26.58
"S0035","R29","Cropland",0.481601608265965,643,13.6,56.4412211887799,21.6655357694091,"Poor","Fair",FALSE,NA,NA,TRUE,"Good",14,7.27
"S0036","R04","Cropland",0.852197895872229,997,8.8,65.1520362663998,NA,"Fair","Poor",FALSE,NA,NA,FALSE,NA,NA,12.15
"S0037","R31","Wetland",0.406645670721929,1154,13.2,27.1014747557711,34.3341009887102,"Excellent","Good",TRUE,"Excellent",10,FALSE,NA,NA,6.1
"S0038","R17","Wetland",0.664412019487864,1206,18.7,33.3776066927433,35.4850963100841,"Fair","Good",FALSE,NA,NA,FALSE,NA,NA,7.99
"S0039","R08","Shrubland",0.670693805026534,805,0.3,34.5755925181751,27.9649007137778,"Poor","Good",FALSE,NA,NA,FALSE,NA,NA,8.86
"S0040","R09","Cropland",0.388892767118706,841,12.1,14.1498203776573,NA,"Excellent","Poor",FALSE,NA,NA,TRUE,"Poor",15,2.59
"S0041","R03","Cropland",0.68565236597082,1114,13.6,10.7076587693405,31.9768033250249,"Poor","Good",FALSE,NA,NA,TRUE,"Excellent",18,3.01
"S0042","R29","Cropland",0.588442939637248,792,10.1,12.9782504477462,23.6692093552024,"Poor","Fair",FALSE,NA,NA,FALSE,NA,NA,1.68
"S0043","R23","Cropland",0.651112754554731,1009,9.5,31.4933003179224,48.2442710655791,"Fair","Poor",FALSE,NA,NA,FALSE,NA,NA,7.33
"S0044","R38","Grassland",0.237049024027781,853,22.2,28.7708667636204,26.0927919583197,"Fair","Fair",TRUE,"Fair",16,TRUE,"Excellent",9,1.01
"S0045","R36","Woodland",0.383985236943449,763,17.9,36.8230490779936,27.5506982218075,"Fair","Poor",FALSE,NA,NA,TRUE,"Excellent",15,2.64
"S0046","R25","Wetland",0.441989705635781,912,10.5,30.3329216053831,38.1537439645629,"Fair","Fair",FALSE,NA,NA,FALSE,NA,NA,11.24
"S0047","R31","Wetland",NA,870,15.8,13.6013393997411,28.1505007717109,"Poor","Excellent",FALSE,NA,NA,FALSE,NA,NA,6.37
"S0048","R15","Shrubland",0.490708431973254,817,12.9,0.195527854188875,NA,"Fair","Good",FALSE,NA,NA,TRUE,"Excellent",17,2.7
"S0049","R01","Shrubland",0.477741766081677,783,10.9,14.7231394715068,51.410955946828,"Poor","Excellent",TRUE,"Excellent",7,FALSE,NA,NA,12.27
"S0050","R24","Cropland",0.589865810194902,1040,17.1,47.1265655064094,37.6776844998769,"Fair","Good",TRUE,"Poor",7,TRUE,"Good",11,31.38
"S0051","R06","Grassland",0.637077174918822,1256,17.8,8.769951951652,NA,"Good","Excellent",FALSE,NA,NA,FALSE,NA,NA,3.05
"S0052","R04","Cropland",0.749990009007245,821,10.8,40.3395993575828,25.0810083758729,"Fair","Good",FALSE,NA,NA,FALSE,NA,NA,8.97
"S0053","R29","Cropland",0.590545695859459,663,23.8,24.7115574613196,33.0350209563125,"Good","Poor",TRUE,"Fair",8,FALSE,NA,NA,11.99
"S0054","R08","Shrubland",0.325698288575898,720,10.6,26.9953333007718,33.8488967875083,"Good","Good",FALSE,NA,NA,TRUE,"Good",18,4.33
"S0055","R38","Grassland",0.294165201872953,940,18.4,45.7797133940152,23.7987689448269,"Fair","Good",FALSE,NA,NA,TRUE,"Fair",11,2.84
"S0056","R16",NA,0.700106208653212,903,15,26.1887062106531,33.0042805238968,"Good","Fair",TRUE,"Good",14,FALSE,NA,NA,21.51
"S0057","R06","Grassland",0.440968616293864,684,13.3,46.5334741595164,13.3706456530961,"Good","Fair",FALSE,NA,NA,TRUE,"Good",17,9.86
"S0058","R23","Cropland",0.553037770770595,945,14.5,59.4713231476912,26.8738920887358,"Fair","Fair",FALSE,NA,NA,TRUE,"Poor",12,6.82
"S0059","R01","Shrubland",0.560008322252509,880,20.6,56.1073090094268,21.1210057159362,"Poor","Good",FALSE,NA,NA,FALSE,NA,NA,4.31
"S0060","R17",NA,0.600011011128398,963,20,17.5869119668908,25.3984908760126,"Good","Poor",TRUE,"Good",12,TRUE,"Excellent",18,16.79
"S0061","R20","Cropland",0.436963811594662,878,15.1,38.4280358291843,34.830170733313,"Fair","Excellent",FALSE,NA,NA,FALSE,NA,NA,3.54
"S0062","R38","Grassland",0.450773805084459,607,18.8,39.2065587953305,45.724701290135,"Fair","Good",TRUE,"Fair",9,FALSE,NA,NA,35.52
"S0063","R37","Grassland",0.565688521471968,1176,14.7,12.8817388252063,33.6393958863726,"Excellent","Good",FALSE,NA,NA,TRUE,"Excellent",9,3.45
"S0064","R35","Shrubland",0.382393350967029,1174,18.8,27.9700779208612,34.5603718611452,"Fair","Poor",TRUE,"Excellent",26,TRUE,"Fair",19,3.21
"S0065","R20","Cropland",0.46597441518102,908,14.5,52.375467391763,23.504600705533,"Poor","Good",TRUE,"Good",16,TRUE,"Fair",24,6.11
"S0066","R15","Shrubland",0.412668452739333,1211,21.4,49.0253536683553,37.4681025106117,"Poor","Poor",FALSE,NA,NA,TRUE,"Fair",20,3.48
"S0067","R40","Woodland",0.33528344787665,1084,7.8,38.9317503914369,35.8785855142462,"Poor","Good",FALSE,NA,NA,TRUE,"Fair",10,2.62
"S0068","R21","Woodland",0.524352866405292,700,NA,40.3559375803814,38.0876559102755,"Poor","Fair",FALSE,NA,NA,TRUE,"Good",9,9.25
"S0069","R36","Woodland",0.567592921372925,1068,15.8,24.5039550311975,16.5963801967702,"Excellent","Fair",FALSE,NA,NA,TRUE,"Excellent",15,4.28
"S0070","R21","Woodland",0.514744928524595,677,19.3,44.4898113420051,27.3687755976964,"Fair","Fair",TRUE,"Good",31,FALSE,NA,NA,11.25
"S0071","R33","Cropland",0.550108334253605,833,22.3,41.74099193652,25.0879494270276,"Good","Poor",TRUE,"Poor",14,FALSE,NA,NA,10.57
"S0072","R26","Cropland",0.486444162392124,997,19.4,37.8283673637813,12.3509902443916,"Good","Fair",FALSE,NA,NA,TRUE,"Poor",10,2.85
"S0073","R03","Cropland",0.473684356909984,1168,23.5,57.1565231657964,29.6595051100243,"Fair","Good",FALSE,NA,NA,TRUE,"Good",16,4.51
"S0074","R30","Shrubland",0.264391796081624,747,17.7,25.5692457685151,NA,"Fair","Good",TRUE,"Fair",17,FALSE,NA,NA,1.72
"S0075","R21","Woodland",0.681738954100305,947,7.3,18.9401099363871,21.3406734196827,"Poor","Fair",FALSE,NA,NA,FALSE,NA,NA,2.73
"S0076","R19","Shrubland",0.718690743767877,1139,NA,36.2685993371267,25.9853640149915,"Excellent","Good",FALSE,NA,NA,FALSE,NA,NA,7.12
"S0077","R33","Cropland",0.62976132168722,908,19.3,24.174320852178,30.7109686499386,"Fair",NA,TRUE,"Good",30,FALSE,NA,NA,10.76
"S0078","R27","Shrubland",0.588481321210141,540,12.9,13.9015961531678,17.7304608147006,"Good","Poor",FALSE,NA,NA,TRUE,"Poor",6,9.28
"S0079","R38","Grassland",0.512423051234021,1086,16.7,4.77375450753172,35.2719244081426,"Fair","Poor",TRUE,"Poor",9,TRUE,"Good",20,3.1
"S0080","R18","Wetland",0.439447282287584,1024,12.9,32.079991654601,28.9238942782718,"Poor","Excellent",TRUE,"Poor",12,TRUE,"Poor",15,6.86
"S0081","R33","Cropland",0.529066687441222,1087,16.9,58.4675881857414,NA,"Good","Poor",FALSE,NA,NA,TRUE,"Fair",18,21.65
"S0082","R20","Cropland",0.41702859811954,890,15,45.0268460068553,31.4776418931386,"Fair","Poor",FALSE,NA,NA,FALSE,NA,NA,2.22
"S0083","R28","Shrubland",0.605519650972999,1144,14.8,46.8793141494287,10.5006022363692,"Fair","Fair",FALSE,NA,NA,TRUE,"Fair",21,3.12
"S0084","R21","Woodland",0.559650309446389,934,17.5,45.3814873615359,31.6942571786717,"Good","Fair",FALSE,NA,NA,FALSE,NA,NA,3.77
"S0085","R34","Grassland",0.50150083257254,910,20.9,12.4372114789479,25.6672053907916,"Good","Poor",FALSE,NA,NA,TRUE,"Poor",6,2.55
"S0086","R04","Cropland",0.461669346477262,883,13.3,11.4351032565911,12.0109720747935,"Fair","Excellent",TRUE,"Fair",17,TRUE,"Good",22,4.87
"S0087","R37","Grassland",0.545269881870369,1362,10.2,44.6244243058042,38.9380975274876,"Fair","Poor",FALSE,NA,NA,TRUE,"Poor",5,5.45
"S0088","R15","Shrubland",0.608537612193331,1066,19.6,28.7098754525381,25.8655566676966,"Fair","Good",TRUE,"Good",11,TRUE,"Good",4,13.36
"S0089","R33","Cropland",0.712275523097915,416,9.4,14.1090399075157,NA,"Excellent","Good",FALSE,NA,NA,FALSE,NA,NA,12.01
"S0090","R17","Wetland",0.293993074138864,809,16.3,18.1709959132827,33.428870894544,"Poor","Fair",FALSE,NA,NA,FALSE,NA,NA,2.02
"S0091","R09","Cropland",0.410067789459756,1053,18.1,24.581595771178,34.9773936038183,"Excellent","Good",FALSE,NA,NA,FALSE,NA,NA,2.77
"S0092","R24","Cropland",0.756523427037282,775,16,64.1383212628471,25.6743969404303,"Poor","Excellent",TRUE,"Poor",10,TRUE,"Excellent",14,58.21
"S0093","R25","Wetland",0.475409370635022,734,22.5,12.5279011048575,40.3576681350239,"Fair","Fair",FALSE,NA,NA,FALSE,NA,NA,5.55
"S0094","R13","Shrubland",0.74069021608347,744,14.6,41.1274597340119,NA,NA,"Poor",FALSE,NA,NA,TRUE,"Fair",7,18.92
"S0095","R21","Woodland",0.38019878679982,971,19.6,31.2275802724845,25.8660950557495,"Poor","Good",TRUE,"Fair",20,FALSE,NA,NA,2.19
"S0096","R18","Wetland",0.677056137327328,794,20.8,67.5960071606112,34.6984480442395,"Excellent","Good",FALSE,NA,NA,TRUE,"Excellent",6,58.69
