well_id,fold,median_tvt,azimuth_sign,x_bin
000d7d20,0,11742.13,1,0
00bbac68,0,12225.31,1,1
00e12e8b,4,11599.36,1,0
015fe0d2,1,12243.16,-1,1
01869cd4,4,11747.67,-1,0
01982c1d,0,10688.78,1,1
028d7b28,1,12426.240000000002,-1,1
02e7fe5a,2,12182.43,1,0
0390d174,1,10614.48,-1,1
03a935ae,3,12768.05,1,1
044af7d1,3,11854.13,-1,1
0498acab,4,11401.315,-1,1
052d64df,0,11436.705,1,0
05948241,2,10832.93,1,0
059c8f24,4,10306.06,-1,0
05a0ee4d,3,11917.86,1,1
060ab2b8,3,10956.64,1,0
06df5958,3,11337.1,-1,0
071d7b45,4,10542.535,1,0
0849b4e2,4,11941.735,-1,1
084d66f9,4,11007.21,-1,0
08fecf00,1,12145.42,-1,1
09053135,0,11472.42,-1,1
09441b8d,0,11202.990000000002,1,0
0955cd6c,2,12177.8,-1,1
09ec2ca9,2,11051.94,1,1
0a57a29c,2,11200.89,1,0
0bbf5e67,3,10932.0,-1,0
0be01c24,0,11311.27,-1,1
0c1b160c,4,11159.585,-1,0
0d99f8e4,0,11192.31,-1,0
0dc5e64d,1,10862.78,-1,1
0dc835f3,3,10682.05,1,1
0dd99dc5,4,12582.08,1,1
0e5e560d,1,11020.240000000002,1,1
109d9d70,2,12229.44,1,1
10a1281a,4,11258.820000000002,1,0
10b89021,3,12125.84,1,0
10be2420,3,10810.86,1,0
113011eb,2,12533.25,-1,1
1131525f,0,11300.69,-1,0
11d0f5ac,2,10941.34,1,0
12203f2a,2,12016.5,1,1
122bd617,3,10814.4,1,0
125be846,1,11440.68,1,0
1285a37b,0,12750.68,1,1
1295a25b,1,11757.51,-1,0
12f0cd90,2,11393.46,-1,1
137d1e44,0,12752.19,1,1
13ce113d,2,11184.77,1,0
13f598d9,0,12531.29,1,1
14a53cb3,1,11187.02,1,0
14ab73fb,0,11296.740000000002,1,0
14ad5efb,3,11404.93,-1,1
14fee784,4,10865.48,1,1
153552f5,2,12083.255000000001,1,1
1550491d,1,11362.7,1,1
155887bb,0,12302.515,1,1
1590af81,2,11448.37,1,1
15e154a1,4,10950.38,-1,0
1619e2ca,1,11455.255000000001,-1,1
16e4a047,1,12002.78,1,1
173ed841,2,12735.785,1,1
1770d7c6,0,12585.08,1,1
177622d7,2,12286.35,1,1
18d24f7b,4,11202.43,1,0
19137a89,0,11053.47,-1,1
