"animal_id","ref_layer","ref_temp"
"A001",-40,16.909
"A001",-39.5,16.768
"A001",-39,17.538
"A001",-38.5,17.102
"A001",-38,17.009
"A001",-37.5,17.129
"A001",-37,16.795
"A001",-36.5,17.036
"A001",-36,17.095
"A001",-35.5,16.794
"A001",-35,16.908
"A001",-34.5,17.111
"A001",-34,16.575
"A001",-33.5,17.25
"A001",-33,16.911
"A001",-32.5,16.809
"A001",-32,16.758
"A001",-31.5,17.339
"A001",-31,16.849
"A001",-30.5,16.946
"A001",-30,16.779
"A001",-29.5,16.693
"A001",-29,17.062
"A001",-28.5,16.893
"A001",-28,16.95
"A001",-27.5,16.729
"A001",-27,17.139
"A001",-26.5,17.018
"A001",-26,16.985
"A001",-25.5,16.989
"A001",-25,17.181
"A001",-24.5,17.073
"A001",-24,16.749
"A001",-23.5,16.976
"A001",-23,16.895
"A001",-22.5,17.339
"A001",-22,16.585
"A001",-21.5,16.995
"A001",-21,16.753
"A001",-20.5,16.542
"A001",-20,16.891
"A001",-19.5,16.794
"A001",-19,17.098
"A001",-18.5,17.224
"A001",-18,17.193
"A001",-17.5,17.209
"A001",-17,17.423
"A001",-16.5,17.166
"A001",-16,16.643
"A001",-15.5,17.62
"A001",-15,17.321
"A001",-14.5,17.532
"A001",-14,17.466
"A001",-13.5,17.262
"A001",-13,17.41
"A001",-12.5,16.85
"A001",-12,17.198
"A001",-11.5,17.279
"A001",-11,17.206
"A001",-10.5,16.547
"A001",-10,16.412
"A001",-9.5,16.554
"A001",-9,15.936
"A001",-8.5,15.975
"A001",-8,15.534
"A001",-7.5,15.164
"A001",-7,15.082
"A001",-6.5,14.754
"A001",-6,14.406
"A001",-5.5,14.077
"A001",-5,14.11
"A001",-4.5,14.09
"A001",-4,13.255
"A001",-3.5,12.767
"A001",-3,12.548
"A001",-2.5,12.536
"A001",-2,12.205
"A001",-1.5,11.648
"A001",-1,11.696
"A001",-0.5,11.339
"A001",0,11.17
"A001",0.5,10.795
"A001",1,10.194
"A001",1.5,10.645
"A001",2,10.388
"A001",2.5,9.808
"A001",3,9.943
"A001",3.5,9.547
"A001",4,8.837
"A001",4.5,9.074
"A001",5,8.368
"A001",5.5,8.354
"A001",6,8.359
"A001",6.5,8.378
"A001",7,7.666
"A001",7.5,7.739
"A001",8,7.81
"A001",8.5,7.359
"A001",9,6.747
"A001",9.5,7.284
"A001",10,7.069
"A001",10.5,7.018
"A001",11,6.648
"A001",11.5,6.851
"A001",12,6.48
"A001",12.5,6.348
"A001",13,6.22
"A001",13.5,6.729
"A001",14,6.276
"A001",14.5,5.385
"A001",15,5.804
"A001",15.5,6.041
"A001",16,5.63
"A001",16.5,5.521
"A001",17,5.48
"A001",17.5,5.712
"A001",18,5.444
"A001",18.5,5.531
"A001",19,5.459
"A001",19.5,5.417
"A001",20,5.289
"A002",-40,16.055
"A002",-39.5,15.871
"A002",-39,15.733
"A002",-38.5,15.772
"A002",-38,15.985
"A002",-37.5,15.832
"A002",-37,15.945
"A002",-36.5,15.796
"A002",-36,15.87
"A002",-35.5,16.354
"A002",-35,15.955
"A002",-34.5,15.998
"A002",-34,15.973
"A002",-33.5,15.99
"A002",-33,16.167
"A002",-32.5,16.048
"A002",-32,15.501
"A002",-31.5,16.119
"A002",-31,15.789
"A002",-30.5,16.016
"A002",-30,15.793
"A002",-29.5,15.648
"A002",-29,15.75
"A002",-28.5,15.687
"A002",-28,15.832
"A002",-27.5,15.801
"A002",-27,15.573
"A002",-26.5,16.028
"A002",-26,16.015
"A002",-25.5,15.772
"A002",-25,15.425
"A002",-24.5,15.607
"A002",-24,15.989
"A002",-23.5,15.796
"A002",-23,16.075
"A002",-22.5,15.727
"A002",-22,15.825
"A002",-21.5,15.527
"A002",-21,16.199
"A002",-20.5,15.936
"A002",-20,15.972
"A002",-19.5,15.595
"A002",-19,16.189
"A002",-18.5,15.68
"A002",-18,16.846
"A002",-17.5,16.298
"A002",-17,15.901
"A002",-16.5,16.135
"A002",-16,16.258
"A002",-15.5,16.313
"A002",-15,16.357
"A002",-14.5,16.295
"A002",-14,16.175
"A002",-13.5,16.331
"A002",-13,16.221
"A002",-12.5,15.955
"A002",-12,15.975
"A002",-11.5,15.945
"A002",-11,15.699
"A002",-10.5,15.446
"A002",-10,15.68
"A002",-9.5,15.298
"A002",-9,15.169
"A002",-8.5,14.949
"A002",-8,14.845
"A002",-7.5,14.486
"A002",-7,13.693
"A002",-6.5,13.389
"A002",-6,13.408
"A002",-5.5,13.379
"A002",-5,13.03
"A002",-4.5,12.907
"A002",-4,12.222
"A002",-3.5,11.77
"A002",-3,11.409
"A002",-2.5,11.795
"A002",-2,11.581
"A002",-1.5,10.663
"A002",-1,10.425
"A002",-0.5,10.864
"A002",0,9.817
"A002",0.5,9.549
