"animal_id","step","x","y","depth","temp","layer_pos","layer_input"
"A001",1,19.68,32.16,57.1,13.438,-4.139,-4.139
"A001",2,19.86,32.67,58.04,12.83,-2.865,-2.865
"A001",3,19.99,33.06,58.26,12.959,-2.383,-2.383
"A001",4,19.25,32.75,57.47,12.625,-2.486,-2.486
"A001",5,19.48,32.02,58.89,12.736,-2.228,-2.228
"A001",6,18.79,32.4,57.57,12.217,-2.14,-2.14
"A001",7,19.95,31.8,59.62,13.136,-2.379,-2.379
"A001",8,19.71,33.4,56.64,12.675,-3.222,-3.222
"A001",9,20.21,33.43,57.41,12.736,-3.122,-3.122
"A001",10,20.89,33.61,57.77,13.009,-3.519,-3.519
"A001",11,21.22,32.63,59.12,12.706,-3.66,-3.66
"A001",12,22.33,33.01,60.64,12.673,-3.168,-3.168
"A001",13,22.03,33.73,60.48,12.87,-2.194,-2.194
"A001",14,22.54,33.88,60.15,12.235,-3.041,-3.041
"A001",15,22.17,33.87,59.77,13.367,-2.949,-2.949
"A001",16,23.71,34.77,60.95,12.727,-2.824,-2.824
"A001",17,24.25,35.07,60.52,13.098,-3.618,-3.618
"A001",18,24.14,35.29,59.66,14.109,-4.118,-4.118
"A001",19,24.72,35.75,59.08,13.297,-4.961,-4.961
"A001",20,24.1,35.73,57.96,13.964,-5.324,-5.324
"A001",21,25.16,37.4,57.37,14.786,-5.55,-5.55
"A001",22,24.52,37.23,56.51,14.633,-5.787,-5.787
"A001",23,23.73,37.51,54.83,14.945,-6.144,-6.144
"A001",24,23.93,37.67,55.4,14.584,-5.671,-5.671
"A001",25,24.66,37.7,55.71,14.653,-6.286,-6.286
"A001",26,24.83,37.93,54.83,15.126,-7.141,-7.141
"A001",27,24.54,37.72,54.91,15.223,-6.906,-6.906
"A001",28,25.46,36.16,58.46,14.345,-6.049,-6.049
"A001",29,27.04,35.44,60.07,15.028,-6.904,-6.904
"A001",30,25.86,36.68,58.88,14.245,-5.596,-5.596
"A001",31,26.87,37.54,59.25,13.441,-5.551,-5.551
"A001",32,26.62,37.1,59.93,13.749,-5.015,-5.015
"A001",33,27.29,35.27,62.27,13.717,-5.115,-5.115
"A001",34,26.22,34.67,60.8,14.625,-5.995,-5.995
"A001",35,26.22,33.69,61.92,13.813,-5.757,-5.757
"A001",36,25.81,32.71,62.37,14.491,-5.745,-5.745
"A001",37,25.73,33.4,60.57,14.294,-6.856,-6.856
"A001",38,25.33,33.53,61.09,13.892,-5.775,-5.775
"A001",39,25.85,34.44,61.39,14.534,-5.209,-5.209
"A001",40,26.84,33.6,63.26,14.393,-5.144,-5.144
"A001",41,26.73,33.05,65.07,13.28,-3.699,-3.699
"A001",42,26.79,33.53,63.94,13.298,-4.471,-4.471
"A001",43,26.34,34.28,61.62,15.138,-5.654,-5.654
"A001",44,27.21,34.16,62.56,13.881,-5.73,-5.73
"A001",45,27.75,33.58,63.94,14.202,-5.389,-5.389
"A001",46,26.98,34.75,62.21,14.838,-5.321,-5.321
"A001",47,28.12,35.7,62.26,13.872,-5.592,-5.592
"A001",48,27.58,36.19,60.77,15.183,-6.08,-6.08
"A001",49,27.17,36.48,59.22,14.835,-6.928,-6.928
"A001",50,26.57,35.54,59.53,14.995,-6.837,-6.837
"A001",51,26.21,34.2,61.58,14.539,-5.634,-5.634
"A001",52,26.41,35.48,60.7,14.688,-5.546,-5.546
"A001",53,27.13,35.55,62.01,13.911,-4.956,-4.956
"A001",54,27.05,34.93,62.79,13.978,-4.649,-4.649
"A001",55,27.3,35.79,63.12,13.297,-3.802,-3.802
"A001",56,27.49,35.28,63.22,13.521,-4.365,-4.365
"A001",57,28.55,34.92,63.51,14.348,-5.452,-5.452
"A001",58,30.19,35.14,64.8,14.486,-5.508,-5.508
"A001",59,29.66,34.24,65.46,14.194,-5.098,-5.098
"A001",60,30.99,33.96,65.93,14.799,-5.986,-5.986
"A001",61,32.34,33.38,67.79,14.23,-5.593,-5.593
"A001",62,32.42,34.2,67.86,13.804,-5.015,-5.015
"A001",63,32.91,34.44,69.16,13.465,-3.929,-3.929
"A001",64,31.79,34.28,68.85,12.567,-3.478,-3.478
"A001",65,32.12,35.11,68.78,12.852,-3.197,-3.197
"A001",66,31.82,35.03,69.33,13.115,-2.465,-2.465
"A001",67,31.8,34.87,69.21,12.401,-2.682,-2.682
"A001",68,32.22,34.93,69.39,12.547,-2.802,-2.802
"A001",69,32.9,34.52,70.39,12.618,-2.639,-2.639
"A001",70,32.89,34.58,69.66,12.633,-3.317,-3.317
"A001",71,34.5,35.15,70.12,13.078,-3.674,-3.674
"A001",72,34.73,35.24,71.22,12.969,-2.687,-2.687
"A001",73,34.49,36.17,69.67,13.138,-3.414,-3.414
"A001",74,34.66,35.68,69.63,13.197,-3.925,-3.925
"A001",75,34.51,35.41,70.15,13.157,-3.477,-3.477
"A001",76,33.8,36.16,69.22,12.712,-3.328,-3.328
"A001",77,34.13,35.31,69.96,13.207,-3.451,-3.451
"A001",78,34.71,34.43,71.27,12.843,-3.149,-3.149
"A001",79,34.9,34.87,71.04,12.708,-3.238,-3.238
"A001",80,35.09,34.63,70.89,13.409,-3.665,-3.665
"A001",81,35.14,34.08,70.75,13.087,-4.179,-4.179
"A001",82,35.62,33.62,70.11,14.151,-5.411,-5.411
"A001",83,34.79,34.24,70.36,13.251,-4.232,-4.232
"A001",84,35.52,33.91,70.48,14.043,-4.806,-4.806
"A001",85,34.95,34,69.5,14.602,-5.343,-5.343
"A001",86,35.2,33.64,69.35,14.144,-5.886,-5.886
"A001",87,35.7,34.06,70.79,13.799,-4.534,-4.534
"A001",88,35.85,33.77,71.55,13.272,-4.036,-4.036
"A001",89,34.92,34.18,70.63,13.453,-4.088,-4.088
"A001",90,35.04,33.96,70.73,13.153,-4.21,-4.21
"A001",91,35.36,35.2,69.3,14.149,-5.084,-5.084
"A001",92,36.05,35.45,69.38,14.266,-5.344,-5.344
"A001",93,36.4,34.31,71.3,12.811,-4.339,-4.339
"A001",94,36.77,35.24,70.81,13.772,-4.535,-4.535
"A001",95,37.46,35.2,71.89,13.164,-3.945,-3.945
"A001",96,36.98,35.36,71.87,12.166,-3.554,-3.554
"A001",97,36.62,36.19,70.34,13.749,-4.32,-4.32
"A001",98,36.68,36.36,70.84,12.817,-3.751,-3.751
"A001",99,36.96,37.8,70.67,13.021,-3.175,-3.175
"A001",100,37.86,37.25,71.86,12.81,-3.022,-3.022
"A001",101,37.32,37.29,70.75,13.63,-3.723,-3.723
"A001",102,36.85,37.39,69.34,12.76,-4.699,-4.699
"A001",103,37.43,37.68,69.06,14.544,-5.226,-5.226
"A001",104,37.27,37.97,68.34,13.637,-5.627,-5.627
"A001",105,37.24,38.06,68.27,14.483,-5.614,-5.614
"A001",106,37.73,37.07,69.74,14.495,-5.169,-5.169
"A001",107,37.45,36.68,70.46,13.747,-4.49,-4.49
"A001",108,37.14,36.62,69.89,14.149,-4.877,-4.877
"A001",109,37.17,36.23,70.48,14.138,-4.547,-4.547
"A001",110,37.12,36.37,71.05,13.061,-3.861,-3.861
"A001",111,36.92,35.83,70.56,13.976,-4.542,-4.542
