"animal_id","site","sex","event","condition","body_mass","chest_girth","kidney_fat","odba","activity_hr","rest_bouts","cortisol"
1,1,"M",1,"fair",44.52149761666,70.5849030086544,4.08193264319332,NA,9.13558603307581,12.5185068856355,21.1772280553251
1,1,"M",2,"fair",47.8303628340451,69.9142006423548,3.11587192927158,1.95256695938189,10.5749255645014,NA,20.8954545748985
1,1,"M",3,"fair",46.5104165803188,71.4695963571258,4.23422284420286,2.17938177549141,9.614108604186,11.8831858662464,15.3436772632296
1,1,"F",4,"fair",49.2104501508233,67.7861942534739,3.89247666691818,1.99113728615499,9.66316300182255,11.9820518156874,NA
2,2,"F",1,"good",56.7647065111525,76.5572571690988,5.45315710536379,2.50206919310217,11.8827620465732,11.3758450076625,15.0040224800954
2,2,"F",2,"good",56.1552219923306,78.7524516994072,3.80986335259737,2.48713632941874,10.773656150018,10.1149421152309,13.4482787787573
3,3,"M",1,"good",45.0538438039961,74.4222992843031,NA,2.59066684718402,12.9433753696688,10.2474069905608,12.9163356589906
4,4,"F",1,"good",52.0250496644058,79.7482671543929,6.27473994637048,2.61211479541852,12.0003550706602,9.42725581093967,17.1611763274196
4,4,"F",2,"good",54.3368301796584,78.3453982429599,NA,2.45122571275752,11.0305226194219,11.4235739798527,16.5934210122105
4,4,"F",3,"good",51.6957359561714,77.3827353380138,NA,2.13077028218966,10.3066836091394,9.43671098656067,13.5195443495077
4,4,"M",4,"good",55.9356592138479,75.4619157340034,3.90654544597302,2.34109746527388,11.5408616023976,10.6061213453024,11.8275024524179
4,4,"F",5,"good",53.4393994450661,76.8221345561025,4.5719965838746,2.49548187969151,10.7486911909509,9.03095558214782,16.7784122775067
4,4,"F",6,"good",56.6056939675309,75.491310716602,6.71695765825553,2.44574616103155,10.6722347971947,10.7963852686522,9.13934742748776
4,4,"F",7,"good",56.5668900968152,77.0177078418909,6.54959853149409,2.28024811269375,11.2001091810226,10.3320365662121,15.7443391840993
5,5,"M",1,"good",51.5696734235136,72.9945735230503,4.88989843259687,1.9744546105914,11.1763139449488,9.85321132077015,13.7293656755549
6,6,"M",1,"good",53.7235789394949,73.9512999524847,3.4042845283711,NA,13.2000496642184,NA,11.2689802585804
7,7,"F",1,"good",54.7187349866571,76.285492069285,5.29284904373882,2.34187433998501,11.9086229329617,9.50547380602854,22.052532378067
7,7,"M",2,"good",53.4531569611972,78.2000782556736,NA,2.34068148099857,11.1721245676241,11.148783056039,14.8271357881225
8,8,"F",1,"fair",51.3708957642736,72.2235529550574,4.00897662863506,2.0656468964598,11.1618304414081,12.8504927118937,15.1866884020749
8,8,"M",2,"fair",48.0035119879023,70.1433551378986,4.2642953671816,NA,10.0192433851117,9.80665414869311,17.6908036751505
8,8,"M",3,"fair",47.7736928064644,70.8296790894011,3.98192619252275,2.15993538776952,11.9100311091226,11.824485107458,18.2548382419751
8,8,"M",4,"fair",46.9490159930343,70.9004571600868,3.22614331729222,2.34614248249034,12.3861130679237,13.3059468946878,14.9298594795539
8,8,"F",5,"fair",46.3698291432946,72.5534551159804,4.4764013618581,2.07687561970337,11.0957409102727,9.86095444334458,14.8708605157236
8,8,"M",6,"fair",51.2956002065667,70.7699098631088,3.35749351350978,2.3191970933152,10.2329637563509,11.8906090248541,17.6526328049019
8,8,"M",7,"fair",47.9375464158233,72.6094111129322,3.56267827785584,2.32846261176758,9.54527292838877,10.1722123393692,18.9706138048946
9,9,"M",1,"good",45.7721212771367,72.5877346885571,2.86383792494856,2.05826962925408,9.75834493820273,10.9942033294355,23.6006370473095
9,9,"F",2,"good",46.6024375551133,69.1650453532225,2.90400226473897,2.4138189187002,9.57408672350969,11.7729279509078,19.3219492618241
9,9,"M",3,"good",45.3243926057172,70.2329669538395,1.29224204122471,2.06553424254697,10.1336876087452,12.4101681646731,17.3999307054706
9,9,"M",4,"good",46.594830784542,71.6397764857154,2.09948654602003,2.18746726943694,8.7391679593497,12.3187766477405,NA
10,10,"F",1,"good",64.4754072408633,85.9635000969435,8.81212877037121,2.96070855393198,13.8864075544623,7.09978882166773,9.53836426321994
10,10,"M",2,"good",61.4449958578484,83.7002705815277,NA,3.18212877034215,15.329697837603,7.94600913660521,NA
11,11,"M",1,"good",53.5910644683697,75.5813564005638,4.30389646824491,2.66508106363736,11.0004436071901,10.2521495253911,9.92462185752871
12,12,"F",1,"fair",44.6614373566215,69.6869199427018,0.622360661181275,1.46773109400575,7.8112016854669,11.0357729429237,19.9481699174233
12,12,"M",2,"fair",47.6093023299776,72.7339486028038,2.3400138168641,1.59253544158073,9.67871875646777,12.0493612712116,23.4059239014486
12,12,"F",3,"fair",53.6068522610665,72.7073222888281,4.15725177503485,1.88487918630924,9.54791376611169,11.7467261986896,17.1616857350978
12,12,"F",4,"fair",47.6962779657393,71.6849981591223,2.21015879819136,1.55027348681174,11.2538808808363,12.70676536437,16.6220943915192
13,1,"F",1,"good",52.804525652826,74.0639794419802,5.27557431121371,3.14005194710744,13.0433600978886,8.254688142353,6.76945925593453
13,1,"F",2,"good",50.3764407855839,76.8867494569052,5.28013082384731,3.47448907582784,15.0240608166848,7.9248338218322,8.33613425495957
13,1,"F",3,"good",53.3589808611885,75.766826750164,4.72824490336644,3.36980158690994,15.3269996672382,8.3163781378009,9.71240111557492
13,1,"M",4,"good",48.7349291660453,77.7020274405681,4.92751045726825,3.74250605256823,15.6040270769253,7.2635643617125,10.9821719414201
14,2,"M",1,"fair",46.1969509170287,69.5587186741021,3.09678045402617,2.59548587095573,10.2629064359342,10.564935280223,16.6167937724986
14,2,"M",2,"fair",41.4581039863711,66.70521065514,4.05662637025372,2.09973418732747,9.47102159976018,9.86413946087799,15.6572536802303
14,2,"F",3,"fair",42.6956627645827,70.8826456253828,4.89541654112722,2.55313106171905,11.5584760854939,11.038090098506,16.3740470815265
14,2,"M",4,"fair",43.7046944126365,67.3388973437576,1.82577766657925,2.33688994370629,11.0850156364533,12.7574159976508,16.1532391876257
15,3,"M",1,"good",51.3755372335054,77.825816082352,5.35905068496854,2.26519729584614,10.6304861186277,10.3362688817407,14.517924232562
15,3,"F",2,"good",58.1516715026032,79.6136476084855,6.94823667789194,2.82431827884909,12.3428828370415,8.29766686751891,12.3230881012836
15,3,"M",3,"good",58.7936164036377,75.4489955749714,4.79412713703556,2.88950614866491,13.8643889939583,8.56270884685984,8.44376862062182
15,3,"F",4,"good",55.0435141327172,79.3788641854226,5.29385228035421,2.37726219264972,12.5403699753167,10.1988928251416,17.9264256162799
16,4,"F",1,"good",46.0973302545115,71.4303827956701,NA,2.54596936949252,11.6033598549229,10.0190378407696,17.387273851202
