iter	Passed	Remaining
0	3	2648
1	5	2264
2	7	2109
3	10	2065
4	12	2014
5	14	1979
6	17	1993
7	19	1974
8	22	1963
9	24	1948
10	27	1938
11	29	1926
12	31	1916
13	34	1911
14	36	1905
15	39	1920
16	41	1902
17	43	1893
18	45	1881
19	47	1868
20	50	1861
21	52	1856
22	54	1849
23	56	1841
24	59	1847
25	61	1838
26	64	1834
27	66	1826
28	68	1820
29	70	1816
30	72	1810
31	75	1806
32	77	1801
33	80	1814
34	82	1811
35	85	1807
36	87	1804
37	89	1799
38	91	1793
39	94	1789
40	96	1783
41	98	1779
42	101	1784
43	103	1779
44	105	1776
45	108	1773
46	110	1767
47	112	1765
48	114	1762
49	117	1759
50	119	1757
51	122	1759
52	124	1756
53	126	1753
54	129	1749
55	131	1747
56	133	1744
57	136	1742
58	138	1738
59	140	1735
60	143	1736
61	145	1732
62	147	1729
63	150	1725
64	152	1724
65	154	1720
66	157	1718
67	159	1716
68	162	1721
69	165	1722
70	167	1719
71	169	1717
72	172	1719
73	174	1714
74	176	1710
75	179	1706
76	181	1700
77	183	1696
78	186	1698
79	188	1694
80	190	1691
81	192	1687
82	194	1684
83	197	1680
84	199	1677
85	201	1675
86	204	1672
87	206	1671
88	208	1668
89	211	1665
90	213	1662
91	216	1668
92	219	1666
93	221	1662
94	223	1658
95	225	1655
96	228	1655
97	230	1652
98	233	1650
99	235	1646
100	237	1643
101	239	1640
102	242	1638
103	244	1634
104	246	1631
105	249	1634
106	251	1631
107	254	1628
108	256	1625
109	258	1622
110	260	1619
111	263	1617
112	265	1616
113	268	1615
114	270	1612
115	272	1609
116	275	1606
117	277	1605
118	280	1602
119	282	1601
120	284	1597
121	287	1595
122	289	1594
123	292	1591
124	294	1588
125	296	1585
126	298	1583
127	301	1580
128	303	1578
129	305	1576
130	308	1573
131	310	1573
132	313	1570
133	315	1567
134	317	1565
135	319	1562
136	322	1558
137	324	1556
138	326	1553
139	328	1550
140	331	1549
141	333	1547
142	336	1544
143	338	1541
144	340	1538
145	342	1535
146	344	1532
147	347	1528
148	349	1526
149	351	1523
150	354	1522
151	356	1519
152	358	1516
153	360	1513
154	364	1514
155	366	1512
156	368	1510
157	371	1509
158	374	1508
159	376	1505
160	378	1502
161	380	1500
162	383	1497
163	385	1494
164	387	1491
165	389	1488
166	391	1485
167	394	1484
168	396	1481
169	399	1479
170	401	1476
171	403	1473
172	405	1470
173	407	1467
174	410	1465
175	413	1464
176	415	1464
177	418	1461
178	420	1458
179	422	1455
180	424	1453
181	427	1450
182	429	1448
183	432	1446
184	434	1443
185	437	1443
186	439	1440
187	441	1437
188	443	1435
189	446	1432
190	448	1430
191	450	1427
192	453	1425
193	455	1422
194	458	1421
195	460	1418
196	462	1416
197	464	1413
198	467	1411
199	469	1408
200	473	1409
201	475	1406
202	477	1402
203	479	1402
204	481	1398
205	483	1395
206	485	1391
207	487	1388
208	489	1384
209	491	1381
210	493	1378
211	496	1376
212	498	1373
213	500	1370
214	502	1367
215	504	1365
216	507	1362
217	509	1360
218	511	1358
219	514	1355
220	516	1352
221	518	1350
222	521	1348
223	523	1345
224	525	1343
225	527	1340
226	530	1338
227	532	1335
228	534	1332
229	536	1330
230	538	1327
231	541	1324
232	543	1322
233	545	1319
234	547	1317
235	550	1314
236	552	1312
237	554	1309
238	557	1308
