"site_id","transect_id","site_in_transect","x","y","location_code","land_cover","mgmt_unit","canopy_cover","ndvi","dist_to_water_m","elevation_m","shrub_height_cm","passive_site","visual_scan_min","call_playback_min","track_survey_min","scat_survey_min","spotlight_min","total_effort_min","detected"
"T0001_01","T0001","01",67.1281330227841,66.0921539201683,"A/564/N","Shrubland","South",31.5346933059313,0.464196359927434,1039,805,61,FALSE,29,9,25,27,3,93,0
"T0002_01","T0002","01",56.7819838212082,37.6462590451463,"C/128/N","Grassland","South",35.580451456299,0.490116652097177,377,916,59,FALSE,11,2,21,2,21,57,1
"T0002_02","T0002","02",53.3888879173265,35.3930157440418,"C/1625/N","Grassland","South",14.7582715463798,0.305719121100154,87,892,29,FALSE,23,8,18,6,19,74,1
"T0002_03","T0002","03",52.9111993071287,29.0023707689203,"C/1798/N","Grassland","South",44.1530254640198,0.413836838281482,519,1009,82,TRUE,0,0,0,0,0,0,0
"T0003_01","T0003","01",12.2335932711056,27.4000528384978,"A/224/S","Shrubland","South",53.593510215843,0.568013094953854,278,919,37,FALSE,3,15,15,11,1,45,1
"T0003_02","T0003","02",13.6962448967617,26.3761190586302,"F/413/S","Shrubland","South",58.297336731732,0.536536191712374,683,865,89,TRUE,0,0,0,0,0,0,0
"T0003_03","T0003","03",15.442702144621,25.0798186690129,"F/153/N","Shrubland","South",4.92497377648688,0.161766776094163,130,980,2,FALSE,39,3,4,4,0,50,0
"T0003_04","T0003","04",18.9070052228736,25.9330348753936,"C/671/N",NA,"South",NA,0.280992832334519,185,1043,18,TRUE,0,0,0,0,0,0,1
"T0004_01","T0004","01",29.887683892433,75.9927475343876,"C/513/N","Shrubland","South",66.5572254558896,0.567817085710605,25,970,65,TRUE,0,0,0,0,0,0,0
"T0005_01","T0005","01",53.434619723631,42.3156824930113,"D/1411/N","Grassland","South",78.9662507023245,0.657636814526499,94,830,78,FALSE,33,7,0,17,8,65,1
"T0006_01","T0006","01",0.477605294072278,17.2850860391508,"D/805/N","Shrubland","South",26.9183515407634,0.428954674052038,594,755,74,TRUE,0,0,0,0,0,0,0
"T0007_01","T0007","01",48.2828949993389,66.391624584076,"D/866/S","Grassland","Central",40.7499968540052,0.484948935713349,1094,693,81,FALSE,3,12,18,19,35,87,1
"T0007_02","T0007","02",43.5584075917114,66.7862411585703,"D/1007/N","Grassland","Central",24.4281177415029,0.336436624094239,273,1005,71,TRUE,0,0,0,0,0,0,0
"T0008_01","T0008","01",87.4010878975038,91.7103280983493,"A/1702/N","Grassland","Central",0,0.287830422016942,1085,799,33,TRUE,0,0,0,0,0,0,0
