"date","time_index","year","month","site","species","habitat","region","elevation","temperature","intervention","count"
2015-01-01,1,2015,1,"SITE01","SP01","Grassland","South",699,18.07,0,7
2015-02-01,2,2015,2,"SITE01","SP01","Grassland","South",699,22.12,0,5
2015-03-01,3,2015,3,"SITE01","SP01","Grassland","South",699,22.09,0,9
2015-04-01,4,2015,4,"SITE01","SP01","Grassland","South",699,21.91,0,7
2015-05-01,5,2015,5,"SITE01","SP01","Grassland","South",699,19.32,0,24
2015-06-01,6,2015,6,"SITE01","SP01","Grassland","South",699,14.98,0,25
2015-07-01,7,2015,7,"SITE01","SP01","Grassland","South",699,10.92,0,28
2015-08-01,8,2015,8,"SITE01","SP01","Grassland","South",699,6.58,0,17
2015-09-01,9,2015,9,"SITE01","SP01","Grassland","South",699,7,0,22
2015-10-01,10,2015,10,"SITE01","SP01","Grassland","South",699,6.57,0,7
2015-11-01,11,2015,11,"SITE01","SP01","Grassland","South",699,12.48,0,7
2015-12-01,12,2015,12,"SITE01","SP01","Grassland","South",699,14.36,0,4
2016-01-01,13,2016,1,"SITE01","SP01","Grassland","South",699,19.54,0,4
2016-02-01,14,2016,2,"SITE01","SP01","Grassland","South",699,22.87,0,6
2016-03-01,15,2016,3,"SITE01","SP01","Grassland","South",699,23.46,0,8
2016-04-01,16,2016,4,"SITE01","SP01","Grassland","South",699,23.76,0,12
2016-05-01,17,2016,5,"SITE01","SP01","Grassland","South",699,18.66,0,21
2016-06-01,18,2016,6,"SITE01","SP01","Grassland","South",699,15.98,0,26
2016-07-01,19,2016,7,"SITE01","SP01","Grassland","South",699,10.59,0,28
2016-08-01,20,2016,8,"SITE01","SP01","Grassland","South",699,10.8,0,25
2016-09-01,21,2016,9,"SITE01","SP01","Grassland","South",699,8.32,0,22
2016-10-01,22,2016,10,"SITE01","SP01","Grassland","South",699,8.39,0,10
2016-11-01,23,2016,11,"SITE01","SP01","Grassland","South",699,12.48,0,5
